,FILE_NAME,JOB_CLASS_TITLE,JOB_CLASS_NO,JOB_DUTIES,EDUCATION_YEARS,SCHOOL_TYPE,EDUCATION_MAJOR,EXPERIENCE_LENGTH,FULL_TIME_PART_TIME,EXP_JOB_CLASS_TITLE,COURSE_COUNT,COURSE_LENGTH,COURSE_SUBJECT,DRIVERS_LICENSE_REQ,EXAM_TYPE,ENTRY_SALARY,OPEN_DATE,REQUIREMENT_SET_TEXT
382,PORT MAINTENANCE SUPERVISOR 3128 052016 REV 060216.txt,PORT MAINTENANCE SUPERVISOR,3128,"A Port Maintenance Supervisor directly supervises a labor and maintenance crew performing construction and maintenance activities on Port properties, marine terminals, piers, marinas, wharves, beaches and waterways; applies supervisory principles and techniques in building and maintaining an effective workforce; fulfills equal employment opportunity responsibilities; and performs related work.",,,,,,,,,,Required,INTERDEPARTMENTAL PROMOTIONAL,"$45,706-$65,020",05-20-16,
383,PORT PILOT 5151 081817 REV 090717.txt,PORT PILOT		,5151,A Port Pilot navigates oceangoing vessels entering or leaving Los Angeles Harbor and operates communications and navigational equipment. NOTE: All entry level Paygrade I positions are temporary training positions. Employment in such positions is limited to two years during which time incumbents must qualify for advancement to the Port Pilot II level.,,,,,,,,,,Required,OPEN COMPETITIVE BASIS,"$173,554-$193,432",08-18-17,
384,PORT POLICE CAPTAIN 3224 110416.txt,PORT POLICE CAPTAIN,3224,"A Port Police Captain plans, organizes and directs or assists in directing law enforcement operations at the Port of Los Angeles; coordinates activities with tenants and with federal, state and local law enforcement agencies; assesses the Department's security needs and develops recommendations regarding policy and/or rule changes; applies sound supervisory and management principles and techniques in building and maintaining an effective work force; and does related work.",,,,,,,,,,Required,INTERDEPARTMENTAL PROMOTIONAL,"$128,766-$168,898",11-04-16,
385,PORT POLICE LIEUTENANT 3223 120916.txt,PORT POLICE LIEUTENANT,3223,"A Port Police Lieutenant assists the Port Police Captain or the Port Warden in directing the law enforcement and security operations at the Port of Los Angeles; plans, organizes and directs the work of sworn and civilian employees engaged in the operation of an assigned watch, investigation unit, or detail; applies sound supervisory principles and techniques in building and maintaining an effective work force, and fulfills equal employment opportunity responsibilities; and does related work.",,,,,,,,,,Required,INTERDEPARTMENTAL PROMOTIONAL,"$102,541-$134,488",12-09-16,
386,PORT POLICE OFFICER 3221 110906 Rev 060115.txt,PORT POLICE OFFICER,3221,"A Port Police Officer is a sworn peace officer, authorized to carry a firearm who enforces federal and state regulations, City of Los Angeles ordinances, and security, traffic, and safety rules and regulations; engages in law enforcement activities, including uniformed foot, vehicle, boat, motorcycle, bicycle patrol and plainclothes assignments, arrest, and report writing at the Port of Los Angeles; provides information to the public regarding locations and operations of the Department; engages in hazardous materials enforcement; and does related work.",,,,,,,,,,Required,OPEN COMPETITIVE BASIS,"$48,713-$81,474",11-09-06,
387,PORT POLICE SERGEANT 3222 121616.txt,PORT POLICE SERGEANT,3222,"A Port Police Sergeant supervises, assigns, reviews, and evaluates the work of a group of Port Police Officers or Port police civilian employees in the performance of their assigned duties; may perform some initial and follow-up investigations of crimes and related matters; exercises tactical command of field events; maintains Port community development programs; applies sound supervisory principles and techniques in building and maintaining an effective work force; fulfills equal employment opportunity responsibilities; and does related work.",,,,,,,,,,Required,INTERDEPARTMENTAL PROMOTIONAL,"$88,886-$116,593",12-16-16,
388,PORTFOLIO MANAGER 9143 082517.txt,PORTFOLIO MANAGER,9143,"The Portfolio Manager is responsible for the direct asset management of a multibillion dollar fixed income portfolio. Responsibilities include the day-to-day operation and implementation of a fixed income portfolio, which requires specialized investment industry knowledge; development of investment portfolios; implementation of new investment programs, including transacting (trade) on electronic trading platforms; monitoring and rebalancing of portfolios; providing investment grade credit analysis; and measurement and presentation of portfolio performance and attribution.",,,,,,,,,,Required,OPEN COMPETITIVE BASIS,"$127,910-$187,022",08-25-17,
389,POWER ENGINEERING MANAGER 9453 042817 (1).txt,POWER ENGINEERING MANAGER,9453,"A Power Engineering Manager may serve as the manager or assistant manager of a division, major section, or major project of the Power System of the Department of Water and Power (LADWP); may act as an advisor to the General Manager or to an Assistant General Manager; performs difficult and responsible professional engineering and administrative work in managing the planning and the preparation of plans, design specifications, contracts, budgets, legislative reports and procedures for the various components of the energy resource generation, transmission, distribution, construction, maintenance, and operation activities of the LADWP; applies sound supervisory and management principles and techniques in building and maintaining an effective workforce; and fulfills equal employment opportunity responsibilities.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL,"$145,638-$180,966",04-28-17,
390,POWER SHOVEL OPERATOR 3558 062416.txt,POWER SHOVEL OPERATOR,3558,"A Power Shovel Operator operates cranes, shovels, Gradalls, and similar rotating, boom-type excavating and hoisting equipment in connection with varied construction and maintenance activities; and makes running repairs and adjustments to such equipment.",,,,,,,,,,Required,INTERDEPARTMENTAL PROMOTIONAL AND AN OPEN COMPETITIVE BASIS,"$91,036 (flat-rated)",06-24-16,
391,PRE-PRESS OPERATOR 1481 072817 (4).txt,PRE-PRESS OPERATOR 	,1481,"A Pre-Press Operator does pre-press preparation work including lithographic stripping, building press impositions per specific press requirements, maintaining Computer To Plate (CTP) equipment, working on live production as both a proofer and maker, programming Computer Numerical Control (CNC) for contour cutting, and preparing files and prints on wide format printers; may provide leadership and supervision to a group of journey-level Pre-Press Operators; and does related work.",,,,,,,,,,May-Required,OPEN COMPETITIVE BASIS,"$68,528-$82,852",07-28-17,
392,PRINCIPAL ACCOUNTANT 1525 121517.txt,PRINCIPAL ACCOUNTANT,1525,A Principal Accountant directs or assists in directing the accounting and auditing work of a large City department or major unit of the central accounting and auditing office of the City; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.,,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL,"$77,840-$113,816",12-15-17,
393,PRINCIPAL ANIMAL KEEPER 4312 070618.txt,PRINCIPAL ANIMAL KEEPER,4312,"A Principal Animal Keeper plans, organizes, and directs the work of employees caring and maintaining exhibit facilities at the Los Angeles Zoo; applies sound supervisory principles and techniques in building and maintaining an effective workforce; fulfills equal employment opportunity responsibilities; and does related work.",,,,,,,,,,Required,OPEN COMPETITIVE BASIS,"$53,411-$78,112",07-06-18,
394,PRINCIPAL CITY PLANNER 7946 030218.txt,PRINCIPAL CITY PLANNER                                       ,7946,"A Principal City Planner plans, organizes, and directs the work of professional, technical, and clerical employees in a major division of the City Planning Department; applies sound supervisory principles and techniques in building and maintaining an effective workforce; fulfills equal employment responsibilities; and does related work.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL AND AN OPEN COMPETITIVE BASIS,"$123,066-$179,943",03-02-18,
395,PRINCIPAL CIVIL ENGINEER 9489 022318.txt,PRINCIPAL CIVIL ENGINEER,9489,"A Principal Civil Engineer serves as administrative and technical head of a major civil, structural or wastewater engineering unit; or may plan, organize and direct, through subordinate project engineers, the activities of major construction projects; applies sound supervisory and management principles and techniques in building and maintaining an effective work force; and fulfills Equal Employment Opportunity responsibilities.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL,"$123,067-$179,944",02-23-18,
396,PRINCIPAL CIVIL ENGINEERING DRAFTING TECHNICIAN 7219 110218.txt,PRINCIPAL CIVIL ENGINEERING DRAFTING TECHNICIAN,7219,"A Principal Civil Engineering Drafting Technician directs and coordinates the work of drafting personnel in a major engineering drafting unit engaged in preparing civil, architectural, structural, street lighting or other engineering designs and plans for City construction projects, and in preparing and maintaining maps, drawings and technical records for waterworks, transmission lines, electrical and street lighting facilities, using a Computer Aided Drafting & Design (CADD) system; or a Building Information Model (BIM) System, or a Geographic Information System (GIS); applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL,"$67,964-$99,347",11-02-18,
397,PRINCIPAL CLERK 1201 021618.txt,PRINCIPAL CLERK,1201,"A Principal Clerk plans, organizes, and directs the work of clerical employees engaged in a wide variety of clerical activities or independently does clerical work of a highly responsible nature; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL,"$54,120-$79,156",02-16-18,
398,PRINCIPAL CLERK POLICE 1152 121815.txt,PRINCIPAL CLERK POLICE,1152,"A Principal Clerk Police plans, organizes and directs the work of clerical staff in a geographic area or the Records and Identification Division or specialized divisions of the Police Department engaged in the receiving, processing, indexing and filing of reports and records; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL,"$51,114-$74,729",12-18-15,
399,PRINCIPAL CLERK UTILITY 1202 100518 REV 101718.txt,PRINCIPAL CLERK UTILITY,1202,"A Principal Clerk Utility plans, organizes and directs the work of a large group of employees engaged in a wide variety of clerical work, or a smaller group engaged in difficult and complex administrative support work in the Department of Water and Power; applies sound supervisory principles and techniques in building and maintaining an effective workforce; fulfills equal employment opportunity responsibilities; and does related work.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL,"$83,520-$88,176",10-05-18,
400,PRINCIPAL COMMUNICATIONS OPERATOR 1458 072514.txt,PRINCIPAL COMMUNICATIONS OPERATOR,1458,"A Principal Communications Operator plans, organizes, and directs the work of Senior Communications Operators and Communications Information Representatives engaged in the operation of a large telephone system and a radio control point; applies sound supervisory principles and techniques in building and maintaining an effective work force; fulfills equal employment opportunity responsibilities; and assists a Chief Communications Operator in the management of a large radio and telephone operations center.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL,"$54,100 (flat-rated)",07-25-14,
401,PRINCIPAL CONSTRUCTION INSPECTOR 7297 021618.txt,PRINCIPAL CONSTRUCTION INSPECTOR,7297,"A Principal Construction Inspector plans, organizes and directs the work of inspectors assigned to inspect the construction of a wide variety of public works, utilities, and improvement projects in an assigned district or a proprietary department to ensure compliance with plans, specifications, contract provisions, City policies, legal requirements and good construction practices; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL,"$88,322-$129,142",02-16-18,
402,PRINCIPAL DEPUTY CONTROLLER 7260 032814.txt,PRINCIPAL DEPUTY CONTROLLER,9653,"A Principal Deputy Controller serves in the Office of the Controller as the top operations accounting employee for the City of Los Angeles and provides oversight to all City accounting operations with a total budget of over $20 billion. The position is responsible for the day-to-day operations for the City's Accounting and Disbursement systems, including but not limited to: overseeing the bi-weekly payroll for over 45,000 employees with an average total bi-weekly expenditure of over $131 million; overseeing the review, approval, and disbursement of all payments with an average annual expenditure of over $5 billion; proposing policy changes on financial and accounting matters and making recommendations to the Controller; overseeing Citywide accounting training; and overseeing the City's fund accounting including the set-up and control of the City's budgetary appropriations and funds. The position directs the activities of the Controller's Office in the absence of the Controller and Chief Deputy Controller; applies sound supervisory and management principles and techniques in building and maintaining an effective work force; fulfills equal employment opportunity responsibilities; and does related work.",,,,,,,,,,,OPEN COMPETITIVE BASIS,"$145,867-$181,217",03-28-14,
403,PRINCIPAL DETENTION OFFICER 3215 101218.txt,PRINCIPAL DETENTION OFFICER,3215,"A Principal Detention Officer plans, organizes and directs the work of Senior Detention Officers, Detention Officers, and other personnel engaged in booking, processing, and releasing of arrestees and their personal property; performs the more technical and responsible work; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL,"$64,812-$94,733",10-12-18,
404,PRINCIPAL ELECTRIC TROUBLE DISPATCHER 3830 022616.txt,PRINCIPAL ELECTRIC TROUBLE DISPATCHER,3830,"A Principal Electric Trouble Dispatcher plans, organizes, directs and coordinates the work of the Electric Trouble Dispatching team comprised of several shifts engaged in receiving and analyzing electric trouble complaints, and dispatching personnel and equipment to clear and repair the trouble and restore service; operates various computer systems and updates databases related to computerized Electric Trouble Dispatching; arranges for and issues Work Authorities on the Department's overhead and underground 7,500-volt and below electric system; approves plans and schedules for switching on the Department's distribution system; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL,"$110,664-$116,844",02-26-16,
405,PRINCIPAL ELECTRICAL ENGINEERING DRAFTING TECHNICIAN 7531 090916 TRACK CHANGES.txt,PRINCIPAL ELECTRICAL ENGINEERING DRAFTING TECHNICIAN,7531,"A Principal Electrical Engineering Drafting Technician plans, organizes, and directs the work of drafting personnel in a major engineering drafting unit engaged in the preparation of electrical engineering drawings and plans for Los Angeles City construction projects; maintains project records; assists in the development and implementation of computer-aided-drafting (CAD), automated drafting program standards, and data management systems storage; manages the retrieval of electronic drawing files; provides drafting-related information relative to proposed work; and defines the job scope as it pertains to drafting work with engineers and contractors. Applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,,,,,,,,INTERDEPARTMENTAL PROMOTIONAL,"$88,447-$109,870",09-09-16,
406,PRINCIPAL ENVIRONMENTAL ENGINEER 7875 092118.txt,PRINCIPAL ENVIRONMENTAL ENGINEER,7875,"A Principal Environmental Engineer serves as the administrative and technical head of one of several Divisions of the Bureau of Sanitation and may represent the Director of the Bureau of Sanitation in meetings with elected or appointed officials, regulatory agencies, citizens groups, or employee labor unions; applies sound management and supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL AND AN OPEN COMPETITIVE BASIS,"$123,066-$179,943",09-21-18,
407,PRINCIPAL GROUNDS MAINTENANCE SUPERVISOR  3147 111315.txt,PRINCIPAL GROUNDS MAINTENANCE SUPERVISOR,3147,"A Principal Grounds Maintenance Supervisor directs the activities of a major organizational unit of a geographic area consisting of several park districts, museums and/or golf courses involving grounds and building maintenance and repair work; supervises through subordinate supervisors landscape layout and development; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,,,,,,,Required,INTERDEPARTMENTAL PROMOTIONAL,"$70,010-$94,335",11-13-15,
408,PRINCIPAL INSPECTOR 4226 061617.txt,PRINCIPAL INSPECTOR,4226,"A Principal Inspector plans, organizes and directs the operation and activities of a section or assists in similar activities in a division involved in building, electrical, plumbing, grading, mechanical, elevator, or pressure vessel inspections and code enforcement or habitability inspection activities; applies sound supervisory principles and techniques in building and maintaining an effective workforce; and fulfills equal employment opportunity responsibilities.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL,"$86,380-$126,303",06-16-17,
409,PRINCIPAL LIBRARIAN 6155 032417 REV 040417.txt,PRINCIPAL LIBRARIAN,6155,"A Principal Librarian plans, organizes, directs, and supervises the work of library personnel at regional and neighborhood branch libraries, a Central Library department, or system-wide level, including Engagement and Learning, Emerging Technologies and Collections, or in a specialized library administrative function; ensures strategic goals and objectives are accomplished; represents and advocates for the library at community events and among diverse constituencies; may represent the Library Department and speak before elected officials, potential donors, and other public and private organizations; may interact with community based organizations and support groups, other city departments, vendors and contractors; plans, implements and reviews budgetary expenditures; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL AND AN OPEN COMPETITIVE BASIS,"$83,938-$119,413",03-24-17,
410,PRINCIPAL MECHANICAL ENGINEERING DRAFTING TECHNICIAN 7550 081415.txt,PRINCIPAL MECHANICAL ENGINEERING DRAFTING TECHNICIAN,7550,"A Principal Mechanical Engineering Drafting Technician plans, organizes and directs the work of drafting personnel in a major drafting group engaged in preparing mechanical engineering designs and plans for City construction projects; or assists in directing such work; develops and reviews guidelines and procedures as related to CADD (computer aided drafting and design) and data management systems; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,,,,,,,,INTERDEPARTMENTAL PROMOTIONAL,"$88,447-$109,870",08-14-15,
411,PRINCIPAL PHOTOGRAPHER 1794 040116.txt,PRINCIPAL PHOTOGRAPHER,1794,"A Principal Photographer directs and supervises the administration and operations of a photographic unit involved in either the production of videotape materials, including crime scenes, unusual occurrences and other unlawful occurrences throughout the City; or in both conventional photography and electronic imaging, and in processing and printing digital and/or color and black and white still photographs; establishes and administers training programs; applies sound supervisory principles and techniques in building and maintaining an effective work force; fulfills equal employment opportunity responsibilities; and does related work.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL AND AN OPEN COMPETITIVE BASIS,"$75,335-$110,142",04-01-16,
412,PRINCIPAL PROPERTY OFFICER 3210 121517.txt,PRINCIPAL PROPERTY OFFICER,3210,"A Principal Property Officer supervises a group of Senior Property Officers, Property Officers and other personnel engaged in maintaining physical custody, control, and detailed documentation of department-owned equipment and booked property.",,,,,,,,,,Required,INTERDEPARTMENTAL PROMOTIONAL,"$58,777-$83,645",12-15-17,
413,PRINCIPAL PUBLIC RELATIONS REPRESENTATIVE 1786 031717.txt,PRINCIPAL PUBLIC RELATIONS REPRESENTATIVE,1786,"A Principal Public Relations Representative supervises a full, or key portion of a public relations program involving the preparation and dissemination of media, promotional, educational, or advertising information on municipal functions or activities; personally performs highly responsible public relations work and may act as spokesperson for a City department; and applies sound supervisory principles and techniques in building and maintaining an effective workforce; and fulfills equal employment opportunity responsibilities.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL,"$66,899-$95,212",03-17-17,
414,PRINCIPAL RECREATION SUPERVISOR 2464 021618.txt,PRINCIPAL RECREATION SUPERVISOR,2464,"A Principal Recreation Supervisor directs and supervises area recreational programs or specialized Citywide recreational activities; applies sound supervisory principles and techniques in building and maintaining an effective work force, and fulfills equal employment opportunity responsibilities.",,,,,,,,,,Required,INTERDEPARTMENTAL PROMOTIONAL,"$73,163-$106,947",02-16-18,
415,PRINCIPAL SECURITY OFFICER 3200 110218.txt,PRINCIPAL SECURITY OFFICER,3200,"A Principal Security Officer assists in directing, or personally directs, a large group of Security Officers and Senior Security Officers engaged in patrolling and safeguarding buildings and their occupants, grounds and equipment, in crowd and traffic control and protocol duties; supervises the investigation of accidents, thefts and disturbances; applies sound supervisory principles and techniques in building and maintaining an effective work force; fulfills equal employment opportunity responsibilities; and does related work.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL,"$49,882 (flat-rated)",11-02-18,
416,PRINCIPAL STOREKEEPER 1839 072718.txt,PRINCIPAL STOREKEEPER,1839,"A Principal Storekeeper manages a major supply distribution system, which may include a variety of distribution centers, warehouses, and stores serving other departments; or acts as assistant to a Stores Supervisor or Supply Services Manager; applies sound managerial and supervisory principles and techniques in supervising an effective work force; fulfills equal employment opportunity responsibilities; and does related work.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL,"$70,177-$102,625",07-27-18,
417,PRINCIPAL TAX AUDITOR 1524 110416.txt,PRINCIPAL TAX AUDITOR,1524,A Principal Tax Auditor plans and directs professional and clerical employees engaged in tax auditing in the Tax and Permit Division of the Office of Finance and applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.,,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL,"$87,863-$128,495",11-04-16,
418,PRINCIPAL TAX COMPLIANCE OFFICER 1195 030218.txt,PRINCIPAL TAX COMPLIANCE OFFICER		 ,1195,"A Principal Tax Compliance Officer plans, organizes and directs the work of professional and clerical employees assigned to various divisions within the Office of Finance involved in the administration and enforcement of tax and permit ordinances or collection of outstanding debts owed to the City; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,,,,,,,Required,INTERDEPARTMENTAL PROMOTIONAL,"$85,482-$124,966",03-02-18,
419,PRINCIPAL TRANSPORTATION ENGINEER 9266 101317.txt,PRINCIPAL TRANSPORTATION ENGINEER,9266,"A Principal Transportation Engineer plans, organizes and directs the work of technical and professional employees engaged in performing responsible professional transportation engineering, transportation planning and field implementation work; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL,"$123,066-$175,120",10-13-17,
420,PRINCIPAL UTILITY ACCOUNTANT 1589 030218 updated.txt,PRINCIPAL UTILITY ACCOUNTANT,1589,"A Principal Utility Accountant plans, directs, and coordinates the work of a division or major section engaged in accounting, financial, and/or auditing activities of the Department of Water and Power and Joint Power Agencies; or may act in the absence of the Auditor (Chief Financial Officer), and assist in administering the financial activities of the Department of Water and Power; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL,"$121,312-$150,711",03-02-18,
421,PRINCIPAL WORKERS_ COMPENSATION ANALYST 1777 071814.txt,PRINCIPAL WORKERS' COMPENSATION ANALYST,1777,A Principal Workers' Compensation Analyst maintains responsibility for the administration of Workers' Compensation benefits in cases involving City employees; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.,,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL,"$80,284-$117,346",07-18-14,
422,PRINTING PRESS OPERATOR 1494 092515.txt,PRINTING PRESS OPERATOR ,1494,"A Printing Press Operator sets up, operates, maintains and makes minor repairs to large, single and multi-color presses; direct to plate, automatic platen press and vertical cylinder presses; and may supervise appropriate staff.",,,,,,,,,,,INTERDEPARTMENTAL PROMOTIONAL AND AN OPEN COMPETITIVE BASIS,"$67,171-$74,855",09-25-15,
423,PRINTING SERVICES SUPERINTENDENT 1496 101416.txt,PRINTING SERVICES SUPERINTENDENT,1496,"A Printing Services Superintendent plans, organizes and directs the work of subordinate supervisors and other employees engaged in lithograph preparation, printing, duplicating, and bindery work of the Publishing Services Division of the Department of General Services; assists the Director of Printing Services in overall division operations; and applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,,,,,,,,INTERDEPARTMENTAL PROMOTIONAL,"$69,968-$102,291",10-14-16,
424,PROCUREMENT ANALYST 1859 022318.txt,PROCUREMENT ANALYST,1859,"A Procurement Analyst purchases or assists in purchasing a variety of equipment, services, supplies, and materials; performs professional staff work by analyzing bids and making awards based on the lowest ultimate cost to the City; and performs related staff work in the coordination of purchasing activities; and does related work.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL AND AN OPEN COMPETITIVE BASIS,"$58,171-$85,044",02-23-18,
425,PROCUREMENT SUPERVISOR 1852 050517.txt,PROCUREMENT SUPERVISOR,1852,"A Procurement Supervisor assigns, reviews, and evaluates the work of subordinates related to purchasing a variety of equipment, services, supplies, and materials and the performance of related staff work; personally performs the more complex purchasing work; applies sound supervisory principles and techniques in building and maintaining an effective work force; fulfills equal employment opportunity responsibilities; and does related work.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL,"$79,239-$115,863",05-05-17,
426,PROGRAMMER ANALYST 1431 092217 (3).txt,PROGRAMMER ANALYST,1431,A Programmer Analyst does technically difficult programming and application or software support; analyzes existing systems and procedures; determines the feasibility of data processing applications; designs and participates in the implementation of systems of computer programs; and may act as a lead analyst or project leader in supervising technical employees who are performing such work.,,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL AND AN OPEN COMPETITIVE BASIS,"$65,124-$92,665",09-22-17,
427,PROPERTY MANAGER 1964 090916 (1).txt,PROPERTY MANAGER,1964,"A Property Manager plans and directs, or assists in planning and directing a comprehensive program of real property acquisition, sale, leasing, development (which may include pre-development and redevelopment), appraisal, and property management in a department.",,,,,,,,,,May-Required,OPEN COMPETITIVE BASIS,"$95,088-$135,282",09-09-16,
428,PROPERTY OFFICER 3207 071417 (1).txt,PROPERTY OFFICER,3207,A Property Officer is an unarmed civilian employee of the Police Department who accepts and maintains physical accountability and detailed documentation for booked evidence and non-evidence property from time of booking to ultimate release or disposal; utilizes both computer based and physical data tracking and filing systems; and provides customer service to police officers and the general public.,,,,,,,,,,Required,INTERDEPARTMENTAL PROMOTIONAL AND AN OPEN COMPETITIVE BASIS,"$45,310-$64,457",07-14-17,
429,PROTECTIVE COATING WORKER 3463 082115.txt,PROTECTIVE COATING WORKER ,3463,"A Protective Coating Worker prepares surfaces and applies cement mortar, or other protective coating or lining material to pipes, fittings, joints, and structures.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL AND AN OPEN COMPETITIVE BASIS,"$86,234 (flat-rated)",08-21-15,
430,PUBLIC INFORMATION DIRECTOR 1800 030317.txt,PUBLIC INFORMATION DIRECTOR,1800,"A Public Information Director plans, develops, and administers a comprehensive public relations, marketing, and information program for a City department or a major Citywide project; serves as spokesperson for the department or project; advises management of the potential public relations effect of proposed actions; assists and serves the community through outreach efforts; engages and interacts with the media; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL AND AN OPEN COMPETITIVE BASIS,"$85,086-$121,041",03-03-17,
431,PUBLIC RELATIONS SPECIALIST 1785 012017.txt,PUBLIC RELATIONS SPECIALIST,1785,Public Relations Specialists utilize various techniques in the preparation and dissemination of material regarding City activities for informational or educational purposes; and may coordinate public relations events or programs.,,,,,,,,,,May-Required,OPEN COMPETITIVE BASIS,"$47,731-$69,760",01-20-17,
432,PUBLIC SAFETY RISK MANAGER 7976 102618.txt,PUBLIC SAFETY RISK MANAGER,7976,"A Public Safety Risk Manager administers a comprehensive risk management program within the Los Angeles Fire Department (LAFD) which includes identifying potential risk exposures in all operations, evaluating the likelihood of these risks, and preparing and recommending policies or procedures to mitigate or eliminate such risks. Evaluates the effectiveness of the risk reduction measures within the context of the public safety and emergency response obligation of the LAFD.",,,,,,,,,,Required,INTERDEPARTMENTAL PROMOTIONAL AND AN OPEN COMPETITIVE BASIS,"$109,787-$160,483",10-26-18,
433,RATES MANAGER 5601 012017.txt,RATES MANAGER	 ,5601,"A Rates Manager directs, or assists in directing, employees engaged in the analysis and development of various rate structures for electrical and water services.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL,"$126,365-$156,975",01-20-17,
434,REAL ESTATE ASSOCIATE 1941 052716.txt,REAL ESTATE ASSOCIATE,1941,"A Real Estate Associate performs the routine appraisals, leasing and property management independently, or assists technical employees engaged in the more difficult appraisals, acquisitions, leasing, sales, management, and title investigations of real property.",,,,,,,,,,May-Required,OPEN COMPETITIVE BASIS,"$46,687-$68,298",05-27-16,
435,REAL ESTATE OFFICER 1960 051118.txt,REAL ESTATE OFFICER,1960,"A Real Estate Officer negotiates for the lease, acquisition, rental, or sale of real property rights; makes valuation appraisals of real property to be acquired, sold or leased by the City; selects or assists in the selection of appropriate sites or routes for public projects; appraises damages including loss of goodwill and special benefits to private and public property resulting from proposed public improvements or public utility installations; manages City-owned real property; and coordinates property management issues for leased facilities; conducts relocation studies; and relocates persons and/or businesses.",,,,,,,,,,May-Required,OPEN COMPETITIVE BASIS,"$70,490-$103,084",05-11-18,
436,REAL ESTATE TRAINEE 1937 122917.txt,REAL ESTATE TRAINEE,1937,"A Real Estate Trainee assists technical real estate employees engaged in appraising, negotiating, and managing real property, title examining, and relocation assistance.",,,,,,,,,,,INTERDEPARTMENTAL PROMOTIONAL,"$46,708-$68,319",12-29-17,
437,RECREATION COORDINATOR 2469 091517(1).txt,RECREATION COORDINATOR,2469,A Recreation Coordinator assists a Recreation Facility Director or Senior Recreation Director in organizing and conducting a comprehensive program of community recreation activities for diverse groups of people.,,,,,,,,,,May-Required,OPEN COMPETITIVE BASIS,"$47,314-$67,317",09-15-17,
